video_id,jahr,datum_text,titel,seiten_url
1968427,2019,26 ноября 57 мин Эфир от 26.11.2019 (12:50). По горячим следам,26 ноября,https://smotrim.ru/video/1968427
1968180,2019,25 ноября 57 мин Эфир от 25.11.2019 (18:50). Битва за Софию,25 ноября,https://smotrim.ru/video/1968180
1967994,2019,25 ноября 57 мин Эфир от 25.11.2019 (12:50). По горячим следам,25 ноября,https://smotrim.ru/video/1967994
1967299,2019,22 ноября 58 мин Эфир от 22.11.2019 (18:50). США обвинили спецслужбы РФ в организации импичмента Дон,22 ноября,https://smotrim.ru/video/1967299
1967132,2019,22 ноября 57 мин Эфир от 22.11.2019 (12:50). По горячим следам,22 ноября,https://smotrim.ru/video/1967132
1966849,2019,"21 ноября 58 мин Эфир от 21.11.2019 (18:50). Украинская ""Оранжевая революция"" и унитаз-шоу",21 ноября,https://smotrim.ru/video/1966849
1966638,2019,21 ноября 58 мин Эфир от 21.11.2019 (12:50). По горячим следам,21 ноября,https://smotrim.ru/video/1966638
1966339,2019,20 ноября 57 мин Эфир от 20.11.2019 (18:50). План Зеленского,20 ноября,https://smotrim.ru/video/1966339
1966092,2019,20 ноября 57 мин Эфир от 20.11.2019 (12:50). По горячим следам,20 ноября,https://smotrim.ru/video/1966092
1965805,2019,19 ноября 57 мин Эфир от 19.11.2019 (18:50). Зеленский высказался по ситуации в Донбассе под диктовк,19 ноября,https://smotrim.ru/video/1965805
1965622,2019,19 ноября 57 мин Эфир от 19.11.2019 (12:50). По горячим следам,19 ноября,https://smotrim.ru/video/1965622
1965351,2019,18 ноября 57 мин Эфир от 18.11.2019 (18:50). Россия назвала условия продления транзита газа на Украи,18 ноября,https://smotrim.ru/video/1965351
1965183,2019,18 ноября 57 мин Эфир от 18.11.2019 (12:50). По горячим следам,18 ноября,https://smotrim.ru/video/1965183
1964480,2019,15 ноября 58 мин Эфир от 15.11.2019 (18:50). Сапоги всмятку,15 ноября,https://smotrim.ru/video/1964480
1964304,2019,15 ноября 57 мин Эфир от 15.11.2019 (12:50). По горячим следам,15 ноября,https://smotrim.ru/video/1964304
1963983,2019,14 ноября 57 мин Эфир от 14.11.2019 (18:50). На Украине заявили о скором выходе из минских соглашени,14 ноября,https://smotrim.ru/video/1963983
1963817,2019,14 ноября 57 мин Эфир от 14.11.2019 (12:50). По горячим следам,14 ноября,https://smotrim.ru/video/1963817
1963548,2019,13 ноября 58 мин Эфир от 13.11.2019 (18:50). К украинской Раде принесли мертвую свинью в гробу,13 ноября,https://smotrim.ru/video/1963548
